nohup: ignoring input
Starting Power Logger...
2026-02-07 11:03:18.903003: 5323
2026-02-07 11:03:19.904595: 5223
2026-02-07 11:03:20.906202: 5223
2026-02-07 11:03:21.907858: 5122
2026-02-07 11:03:22.909497: 5122
2026-02-07 11:03:23.911170: 5223
2026-02-07 11:03:24.912834: 5323
2026-02-07 11:03:25.914454: 5323
2026-02-07 11:03:26.916139: 5323
2026-02-07 11:03:27.917778: 5323
2026-02-07 11:03:28.919428: 5223
2026-02-07 11:03:29.921045: 5323
2026-02-07 11:03:30.922273: 5323
2026-02-07 11:03:31.923959: 5323
2026-02-07 11:03:32.925593: 5323
2026-02-07 11:03:33.927230: 5323
2026-02-07 11:03:34.928903: 5323
2026-02-07 11:03:35.930133: 5323
2026-02-07 11:03:36.931777: 5323
2026-02-07 11:03:37.933433: 5323
2026-02-07 11:03:38.935073: 5323
2026-02-07 11:03:39.936730: 5222
2026-02-07 11:03:40.938361: 5323
2026-02-07 11:03:41.939651: 5323
2026-02-07 11:03:42.941311: 5323
2026-02-07 11:03:43.942951: 5323
2026-02-07 11:03:44.944600: 5323
2026-02-07 11:03:45.946288: 5323
2026-02-07 11:03:46.948006: 5323
2026-02-07 11:03:47.949673: 5323
2026-02-07 11:03:48.950953: 5323
2026-02-07 11:03:49.952596: 5323
2026-02-07 11:03:50.954231: 5323
2026-02-07 11:03:51.955964: 5323
2026-02-07 11:03:52.957616: 5323
2026-02-07 11:03:53.959307: 5323
2026-02-07 11:03:54.960954: 5323
2026-02-07 11:03:55.962601: 5323
2026-02-07 11:03:56.964274: 5323
2026-02-07 11:03:57.965931: 5323
2026-02-07 11:03:58.967589: 5424
2026-02-07 11:03:59.969253: 5323
2026-02-07 11:04:00.970911: 6291
2026-02-07 11:04:01.972565: 5707
2026-02-07 11:04:02.974212: 5323
2026-02-07 11:04:03.975855: 5808
2026-02-07 11:04:04.977499: 5323
2026-02-07 11:04:05.979148: 5323
2026-02-07 11:04:06.980807: 5323
2026-02-07 11:04:07.982474: 5323
2026-02-07 11:04:08.984144: 5122
