nohup: ignoring input
Starting Power Logger...
2026-02-07 11:04:15.627479: 4981
2026-02-07 11:04:16.628607: 4918
2026-02-07 11:04:17.629235: 4945
2026-02-07 11:04:18.630358: 4981
2026-02-07 11:04:19.631483: 4990
2026-02-07 11:04:20.632613: 4954
2026-02-07 11:04:21.633292: 4945
2026-02-07 11:04:22.634409: 4981
2026-02-07 11:04:23.635534: 4954
2026-02-07 11:04:24.636661: 4981
2026-02-07 11:04:25.637240: 4981
2026-02-07 11:04:26.638363: 4981
2026-02-07 11:04:27.639489: 4954
2026-02-07 11:04:28.640614: 4945
2026-02-07 11:04:29.641242: 4981
2026-02-07 11:04:30.642417: 5026
2026-02-07 11:04:31.643539: 4954
2026-02-07 11:04:32.644660: 4981
2026-02-07 11:04:33.645240: 4981
2026-02-07 11:04:34.646387: 4990
2026-02-07 11:04:35.647510: 5017
2026-02-07 11:04:36.648636: 5026
2026-02-07 11:04:37.649259: 4828
2026-02-07 11:04:38.650474: 4792
2026-02-07 11:04:39.651608: 4819
2026-02-07 11:04:40.652819: 4828
2026-02-07 11:04:41.653255: 4819
2026-02-07 11:04:42.654398: 4792
2026-02-07 11:04:43.655594: 4819
2026-02-07 11:04:44.656784: 4800
2026-02-07 11:04:45.657257: 4792
2026-02-07 11:04:46.658434: 4819
2026-02-07 11:04:47.659549: 4764
2026-02-07 11:04:48.660764: 4792
2026-02-07 11:04:49.661309: 4891
2026-02-07 11:04:50.662456: 4764
2026-02-07 11:04:51.663626: 4891
2026-02-07 11:04:52.664777: 4891
2026-02-07 11:04:53.665301: 4764
2026-02-07 11:04:54.666455: 4792
2026-02-07 11:04:55.667602: 4828
2026-02-07 11:04:56.668814: 4855
2026-02-07 11:04:57.669307: 4855
2026-02-07 11:04:58.670443: 4927
2026-02-07 11:04:59.671591: 4828
2026-02-07 11:05:00.672736: 4836
2026-02-07 11:05:01.673255: 4891
2026-02-07 11:05:02.674475: 4855
2026-02-07 11:05:03.675614: 4800
2026-02-07 11:05:04.676761: 4864
2026-02-07 11:05:05.677315: 4891
2026-02-07 11:05:06.678474: 4819
2026-02-07 11:05:07.679617: 4918
2026-02-07 11:05:08.680755: 4783
2026-02-07 11:05:09.681252: 4756
2026-02-07 11:05:10.682400: 4864
2026-02-07 11:05:11.683595: 4507
2026-02-07 11:05:12.684776: 4828
2026-02-07 11:05:13.685243: 4855
2026-02-07 11:05:14.686368: 4700
2026-02-07 11:05:15.687572: 4855
2026-02-07 11:05:16.688720: 4855
2026-02-07 11:05:17.689261: 4764
2026-02-07 11:05:18.690450: 4828
2026-02-07 11:05:19.691604: 4855
2026-02-07 11:05:20.692772: 4764
2026-02-07 11:05:21.693322: 4891
2026-02-07 11:05:22.694508: 4891
2026-02-07 11:05:23.695682: 4728
2026-02-07 11:05:24.696801: 3907
2026-02-07 11:05:25.697237: 5053
2026-02-07 11:05:26.698414: 4990
2026-02-07 11:05:27.699533: 4990
2026-02-07 11:05:28.700656: 4954
2026-02-07 11:05:29.701292: 4954
2026-02-07 11:05:30.702461: 4945
2026-02-07 11:05:31.703583: 4990
2026-02-07 11:05:32.704705: 4990
2026-02-07 11:05:33.705295: 4981
2026-02-07 11:05:34.706460: 5026
2026-02-07 11:05:35.707625: 4990
2026-02-07 11:05:36.708743: 4990
2026-02-07 11:05:37.709231: 4981
2026-02-07 11:05:38.710348: 4981
2026-02-07 11:05:39.711467: 4945
2026-02-07 11:05:40.712587: 4990
2026-02-07 11:05:41.713239: 4981
2026-02-07 11:05:42.714358: 5017
2026-02-07 11:05:43.715483: 5026
2026-02-07 11:05:44.716646: 5026
2026-02-07 11:05:45.717232: 4990
2026-02-07 11:05:46.718351: 4990
2026-02-07 11:05:47.719565: 5026
2026-02-07 11:05:48.720683: 4990
2026-02-07 11:05:49.721274: 4981
2026-02-07 11:05:50.721700: 5017
2026-02-07 11:05:51.722843: 4981
2026-02-07 11:05:52.723963: 4981
2026-02-07 11:05:53.725093: 4990
2026-02-07 11:05:54.725267: 5017
2026-02-07 11:05:55.726446: 4954
2026-02-07 11:05:56.727589: 4990
2026-02-07 11:05:57.728711: 4981
2026-02-07 11:05:58.729237: 4954
2026-02-07 11:05:59.730360: 5017
2026-02-07 11:06:00.731479: 4990
2026-02-07 11:06:01.732602: 4954
2026-02-07 11:06:02.733293: 4954
2026-02-07 11:06:03.734411: 5017
2026-02-07 11:06:04.735531: 4945
2026-02-07 11:06:05.736731: 4954
2026-02-07 11:06:06.737284: 4981
2026-02-07 11:06:07.738409: 4981
2026-02-07 11:06:08.739578: 4981
2026-02-07 11:06:09.740762: 4981
2026-02-07 11:06:10.741236: 4981
2026-02-07 11:06:11.742435: 4981
2026-02-07 11:06:12.743587: 4855
2026-02-07 11:06:13.744765: 4828
2026-02-07 11:06:14.745268: 4918
2026-02-07 11:06:15.746478: 4864
2026-02-07 11:06:16.747691: 4828
2026-02-07 11:06:17.748902: 4891
2026-02-07 11:06:18.749316: 4828
2026-02-07 11:06:19.750447: 4792
2026-02-07 11:06:20.751592: 4891
2026-02-07 11:06:21.752805: 4792
2026-02-07 11:06:22.753257: 4728
2026-02-07 11:06:23.754397: 4882
2026-02-07 11:06:24.755542: 4864
2026-02-07 11:06:25.756761: 4792
2026-02-07 11:06:26.757259: 4536
2026-02-07 11:06:27.758453: 4819
2026-02-07 11:06:28.759673: 4764
2026-02-07 11:06:29.760898: 4828
2026-02-07 11:06:30.761258: 4800
2026-02-07 11:06:31.762481: 4864
2026-02-07 11:06:32.763625: 4927
2026-02-07 11:06:33.764807: 4819
2026-02-07 11:06:34.765254: 4900
2026-02-07 11:06:35.766395: 4891
2026-02-07 11:06:36.767533: 4864
2026-02-07 11:06:37.768691: 4792
2026-02-07 11:06:38.769252: 4891
2026-02-07 11:06:39.770440: 4855
2026-02-07 11:06:40.771585: 4728
2026-02-07 11:06:41.772728: 4442
2026-02-07 11:06:42.773308: 4819
2026-02-07 11:06:43.774534: 4891
2026-02-07 11:06:44.775726: 4891
2026-02-07 11:06:45.776886: 4900
2026-02-07 11:06:46.777284: 4756
2026-02-07 11:06:47.778470: 4864
2026-02-07 11:06:48.779612: 4855
2026-02-07 11:06:49.780760: 4792
2026-02-07 11:06:50.781333: 4891
2026-02-07 11:06:51.782466: 4800
2026-02-07 11:06:52.783608: 4792
2026-02-07 11:06:53.784831: 4728
2026-02-07 11:06:54.785267: 4792
2026-02-07 11:06:55.786401: 4828
2026-02-07 11:06:56.787544: 4756
2026-02-07 11:06:57.788741: 4891
2026-02-07 11:06:58.789327: 4800
2026-02-07 11:06:59.789975: 4828
2026-02-07 11:07:00.791158: 5017
2026-02-07 11:07:01.792284: 4990
2026-02-07 11:07:02.793229: 5053
2026-02-07 11:07:03.794353: 4945
2026-02-07 11:07:04.795534: 5017
2026-02-07 11:07:05.796655: 4981
2026-02-07 11:07:06.797294: 5026
2026-02-07 11:07:07.798411: 5017
2026-02-07 11:07:08.799532: 4981
2026-02-07 11:07:09.800654: 5017
2026-02-07 11:07:10.801237: 4990
2026-02-07 11:07:11.802408: 5017
2026-02-07 11:07:12.803591: 4990
2026-02-07 11:07:13.804767: 5017
2026-02-07 11:07:14.805233: 5017
2026-02-07 11:07:15.806365: 4981
2026-02-07 11:07:16.807486: 5017
2026-02-07 11:07:17.808606: 4954
2026-02-07 11:07:18.809232: 4990
2026-02-07 11:07:19.810393: 4981
2026-02-07 11:07:20.811518: 4990
2026-02-07 11:07:21.812700: 4981
2026-02-07 11:07:22.813235: 4990
2026-02-07 11:07:23.814355: 4990
2026-02-07 11:07:24.815513: 4981
2026-02-07 11:07:25.816637: 4981
2026-02-07 11:07:26.817238: 4954
2026-02-07 11:07:27.818415: 4981
2026-02-07 11:07:28.819581: 4981
2026-02-07 11:07:29.820703: 4981
2026-02-07 11:07:30.821258: 4981
2026-02-07 11:07:31.822379: 4981
2026-02-07 11:07:32.823498: 5017
2026-02-07 11:07:33.824621: 4981
2026-02-07 11:07:34.825239: 4981
2026-02-07 11:07:35.826392: 5017
2026-02-07 11:07:36.827517: 4981
2026-02-07 11:07:37.828642: 4990
2026-02-07 11:07:38.829234: 4954
2026-02-07 11:07:39.830357: 5017
2026-02-07 11:07:40.831551: 5026
2026-02-07 11:07:41.832735: 4981
2026-02-07 11:07:42.833272: 4981
2026-02-07 11:07:43.834423: 4981
2026-02-07 11:07:44.835546: 4954
2026-02-07 11:07:45.836666: 4981
2026-02-07 11:07:46.837260: 4981
2026-02-07 11:07:47.838437: 4828
2026-02-07 11:07:48.839572: 4828
2026-02-07 11:07:49.840731: 4800
2026-02-07 11:07:50.841255: 4728
2026-02-07 11:07:51.842392: 4864
2026-02-07 11:07:52.843538: 4764
2026-02-07 11:07:53.844756: 4736
2026-02-07 11:07:54.845266: 4891
2026-02-07 11:07:55.846410: 4692
2026-02-07 11:07:56.847626: 4828
2026-02-07 11:07:57.848764: 4819
2026-02-07 11:07:58.849254: 4927
2026-02-07 11:07:59.850485: 4855
2026-02-07 11:08:00.851636: 4855
2026-02-07 11:08:01.852818: 4800
2026-02-07 11:08:02.853322: 4792
2026-02-07 11:08:03.854460: 4864
2026-02-07 11:08:04.855596: 4836
2026-02-07 11:08:05.856720: 4792
2026-02-07 11:08:06.857267: 4836
2026-02-07 11:08:07.858408: 4728
2026-02-07 11:08:08.859546: 4764
2026-02-07 11:08:09.860704: 4764
2026-02-07 11:08:10.861266: 4764
2026-02-07 11:08:11.862407: 4728
2026-02-07 11:08:12.863540: 4800
2026-02-07 11:08:13.864685: 4927
2026-02-07 11:08:14.865284: 4800
2026-02-07 11:08:15.866439: 4764
2026-02-07 11:08:16.867593: 4864
2026-02-07 11:08:17.868736: 4728
2026-02-07 11:08:18.869252: 4828
2026-02-07 11:08:19.870388: 4864
2026-02-07 11:08:20.871518: 4828
2026-02-07 11:08:21.872669: 4700
2026-02-07 11:08:22.873311: 4764
2026-02-07 11:08:23.874501: 4764
2026-02-07 11:08:24.875640: 4764
2026-02-07 11:08:25.876781: 4773
2026-02-07 11:08:26.877318: 4792
2026-02-07 11:08:27.878454: 4800
2026-02-07 11:08:28.879655: 4864
2026-02-07 11:08:29.880797: 4855
2026-02-07 11:08:30.881282: 4855
2026-02-07 11:08:31.882481: 4764
2026-02-07 11:08:32.883612: 4891
2026-02-07 11:08:33.884761: 4836
2026-02-07 11:08:34.885260: 4764
2026-02-07 11:08:35.886399: 4736
2026-02-07 11:08:36.887580: 4792
2026-02-07 11:08:37.888726: 4764
2026-02-07 11:08:38.889233: 5017
2026-02-07 11:08:39.890407: 4990
2026-02-07 11:08:40.891524: 5026
2026-02-07 11:08:41.892648: 5026
2026-02-07 11:08:42.893246: 5026
2026-02-07 11:08:43.894397: 5017
2026-02-07 11:08:44.895518: 4981
2026-02-07 11:08:45.896651: 4918
2026-02-07 11:08:46.897295: 4990
2026-02-07 11:08:47.898429: 5026
2026-02-07 11:08:48.899548: 4927
2026-02-07 11:08:49.900671: 4990
2026-02-07 11:08:50.901237: 4990
2026-02-07 11:08:51.902388: 4954
2026-02-07 11:08:52.903507: 5026
2026-02-07 11:08:53.904626: 5062
2026-02-07 11:08:54.905294: 5062
2026-02-07 11:08:55.906429: 5026
2026-02-07 11:08:56.907602: 5017
2026-02-07 11:08:57.908723: 4990
2026-02-07 11:08:58.909284: 4981
2026-02-07 11:08:59.910435: 5026
2026-02-07 11:09:00.911555: 5026
2026-02-07 11:09:01.912677: 5017
2026-02-07 11:09:02.913291: 4990
2026-02-07 11:09:03.914409: 4990
2026-02-07 11:09:04.915531: 4990
2026-02-07 11:09:05.916649: 4954
2026-02-07 11:09:06.917295: 5017
2026-02-07 11:09:07.918434: 4990
